,pm25,t2m,d2m,u10,v10
2016/1/1 8:00,106,266.1586968,262.9427972,0.609999609,-0.854401007
2016/1/1 14:00,172,277.5720134,265.854378,0.539951021,0.014326522
2016/1/1 20:00,260,271.1095029,266.588183,1.231592383,-0.00723542
2016/1/2 2:00,306,266.704619,264.1730288,0.891609084,-1.404386781
2016/1/2 8:00,195,266.0420111,262.6492752,0.834296603,-1.433448529
2016/1/2 14:00,210,279.4514861,266.3222403,-0.28754215,-0.85815091
2016/1/2 20:00,416,273.1285816,265.7706553,-0.589317128,-1.276265095
2016/1/3 2:00,482,268.2454949,264.8378857,-0.198389401,-1.861249964
2016/1/3 8:00,178,267.0911403,264.4310917,-0.402167112,-1.321263931
2016/1/3 14:00,119,276.2853456,265.8080843,-0.042372091,-1.10751946
2016/1/3 20:00,239,271.4189282,266.0425079,-0.00876292,-0.415974848
2016/1/4 2:00,251,268.2038214,263.281628,0.575682876,-1.850000255
2016/1/4 8:00,10,266.3431018,259.2461928,0.205981994,-1.991871585
2016/1/4 14:00,13,273.3879988,257.919434,0.41223617,-2.089369063
2016/1/4 20:00,18,269.8322116,256.7689853,-0.143199604,-2.316863178
2016/1/5 2:00,9,265.6898704,252.6399776,0.058809203,-1.716566206
2016/1/5 8:00,11,263.0248532,252.0499787,0.877811635,-1.34063843
2016/1/5 14:00,25,271.9315117,254.3292067,2.479730863,-0.931274019
2016/1/5 20:00,88,267.1026005,257.2910211,2.602846564,-0.321914781
2016/1/6 2:00,43,264.495926,255.271826,1.182416859,-1.483134744
2016/1/6 8:00,24,264.0406436,254.1006929,1.231946164,-2.351862273
2016/1/6 14:00,16,274.0308118,255.7574178,2.673248932,-3.010282742
2016/1/6 20:00,13,269.8790942,255.1162002,1.416973495,-3.593392659
2016/1/7 2:00,12,266.0545131,254.7891891,1.666388923,-2.935284682
2016/1/7 8:00,12,264.2802659,254.3814102,1.817807083,-2.182491654
2016/1/7 14:00,15,271.8231607,255.8342457,2.621596943,-2.781226167
2016/1/7 20:00,15,267.016128,255.6953645,1.865567484,-1.478759857
2016/1/8 2:00,12,265.4304532,254.6010593,1.502234656,-1.760627566
2016/1/8 8:00,8,264.1354507,254.3981548,1.422633987,-2.296551204
2016/1/8 14:00,9,272.7087216,255.7219588,1.595632773,-1.632818372
2016/1/8 20:00,108,267.2192861,258.0258111,2.025122602,0.277132224
2016/1/9 2:00,117,264.0646058,256.9896193,1.992928554,-0.901587287
2016/1/9 8:00,21,263.3561571,256.0135108,1.289612426,-1.571569957
2016/1/9 14:00,42,275.7696366,257.3412547,0.992790378,-0.087545843
2016/1/9 20:00,122,272.1940544,260.1632029,1.217794934,-0.082233481
2016/1/10 2:00,56,266.8504761,258.7714358,0.483699882,-2.357487128
2016/1/10 8:00,20,267.0338393,255.2196224,-0.926470181,-3.054969086
2016/1/10 14:00,58,272.8306164,257.6150772,-1.35631379,-1.448135649
2016/1/10 20:00,67,268.7966263,258.577396,-0.580472609,-0.560658605
2016/1/11 2:00,11,265.5221348,254.2582886,0.791135352,-2.526545255
2016/1/11 8:00,11,262.1278321,251.6540195,0.988191229,-2.509670691
2016/1/11 14:00,10,268.9643619,252.6675569,1.227700795,-2.725290114
2016/1/11 20:00,20,264.4865495,252.6429326,1.586434474,-2.140617737
2016/1/12 2:00,13,261.4548059,250.2435379,1.372397121,-2.069994564
2016/1/12 8:00,10,259.7086882,249.7993149,1.733607265,-2.224990555
2016/1/12 14:00,8,269.708233,252.2666728,2.485745136,-3.343711617
2016/1/12 20:00,23,265.3064747,251.9839855,2.153898794,-1.123144056
2016/1/13 2:00,13,262.8279461,250.7104151,1.955781575,-1.195642181
2016/1/13 8:00,16,261.956971,250.0573779,1.516385886,-1.760002582
2016/1/13 14:00,13,273.5807386,251.2974592,2.296472436,-1.937497991
2016/1/13 20:00,33,267.6714431,253.249676,2.608860836,-1.624381091
2016/1/14 2:00,35,265.9795009,253.6111612,1.148100127,-1.294077134
2016/1/14 8:00,69,263.8416528,253.0960202,1.615798276,-1.239078557
2016/1/14 14:00,91,276.1207355,253.9342324,2.276306933,-0.288478146
2016/1/14 20:00,104,269.7040657,255.7052142,2.982453306,0.803368612
2016/1/15 2:00,171,266.0670152,255.8322758,1.202936143,-1.784689444
2016/1/15 8:00,93,263.9343763,254.2494238,0.234284454,-1.450635585
2016/1/15 14:00,57,275.8696529,258.0908193,-0.881540026,0.1852596
2016/1/15 20:00,106,270.6865173,260.1897972,-2.450203863,1.090236192
2016/1/16 2:00,135,269.3696362,262.7497425,-2.003732559,-0.094420665
2016/1/16 8:00,89,268.4048958,262.7911114,-1.52188318,-0.430349476
2016/1/16 14:00,112,272.1732177,263.7504753,-2.275789955,-0.045984418
2016/1/16 20:00,149,269.63843,264.6182366,-1.979321688,1.006488358
2016/1/17 2:00,127,266.717121,260.3336032,-1.065152234,-1.121269104
2016/1/17 8:00,20,264.5188464,258.6650587,0.41223617,-2.97403368
2016/1/17 14:00,16,267.3495157,253.6022964,1.128995966,-3.454646248
2016/1/17 20:00,17,263.9604222,253.692914,0.299026331,-2.071244532
2016/1/18 2:00,3,261.2141417,249.0152763,1.829835629,-3.159028894
2016/1/18 8:00,10,258.9325202,246.2642462,2.605323029,-3.868073054
2016/1/18 14:00,12,266.0847264,249.6062602,4.045564455,-5.106791013
2016/1/18 20:00,12,263.388454,250.386359,1.316853544,-2.279051656
2016/1/19 2:00,20,259.6107556,250.347945,1.197275651,-2.810287915
2016/1/19 8:00,22,257.7260738,250.8010327,0.262940695,-1.779689573
2016/1/19 14:00,118,270.4562715,252.2991769,1.63207219,0.539937926
2016/1/19 20:00,101,265.9034469,254.2858678,0.512002341,1.505537949
2016/1/20 2:00,156,262.9925562,254.3607258,0.451152053,-0.971585476
2016/1/20 8:00,118,263.6614152,254.7409255,-0.663257304,-2.014371003
2016/1/20 14:00,138,270.281243,256.8083842,-0.692974887,0.494314106
2016/1/20 20:00,137,266.9004842,258.8945574,-1.565751993,1.363666619
2016/1/21 2:00,104,266.0795172,260.4212659,-0.787080566,-0.554721259
2016/1/21 8:00,82,264.3156883,260.5926512,-1.387446496,-1.379074936
2016/1/21 14:00,157,269.8926381,261.5342856,-0.258885909,-1.355013058
2016/1/21 20:00,144,267.1578178,260.6714491,-0.954065079,-0.381288245
2016/1/22 2:00,5,263.7218417,255.5939122,0.929109844,-1.868437278
2016/1/22 8:00,5,259.9785238,244.5129638,3.18764614,-6.559253442
2016/1/22 14:00,3,262.0726148,246.6542955,2.656975018,-5.806460415
2016/1/22 20:00,6,259.1148415,245.1364518,1.483484276,-3.395272784
2016/1/23 2:00,17,256.8561404,243.5201108,0.510940999,-2.037807897
2016/1/23 8:00,5,255.3069299,241.6614664,2.84235613,-5.28241147
2016/1/23 14:00,5,257.9031859,242.2396457,3.315714771,-7.623600911
2016/1/23 20:00,8,255.8705633,242.0554557,3.292011461,-7.038616043
2016/1/24 2:00,8,255.2454615,243.0246693,2.525014799,-3.993069821
2016/1/24 8:00,7,255.9455755,245.1157674,3.629872076,-3.269651033
2016/1/24 14:00,11,266.9036097,250.3686294,4.633194278,-4.709613786
2016/1/24 20:00,37,264.9293299,250.3026362,2.18963065,-2.948096851
2016/1/25 2:00,14,261.682968,250.2130037,1.667096484,-1.722191061
2016/1/25 8:00,13,260.2556523,250.4789464,1.984791596,-1.827188345
2016/1/25 14:00,15,273.2306816,252.4134338,3.254864483,-2.124993141
2016/1/25 20:00,82,267.0786382,253.2762703,2.578081911,-0.850338612
2016/1/26 2:00,22,263.5009724,250.0603328,1.955427794,-2.327800396
2016/1/26 8:00,20,261.6360854,248.3592841,1.547164811,-2.471546677
2016/1/26 14:00,18,272.9358419,252.3425157,2.545887863,-2.026245696
2016/1/26 20:00,89,267.2630432,253.8327802,2.890116531,0.745245115
2016/1/27 2:00,111,262.0080209,254.0041655,0.823683181,-1.07158289
2016/1/27 8:00,32,260.2389829,253.3757526,0.432401673,-1.212516744
2016/1/27 14:00,63,274.4558811,255.2137126,-0.405704919,1.982400614
2016/1/27 20:00,150,268.0423368,255.9425928,-1.099822747,2.598947167
2016/1/28 2:00,291,266.9598689,256.8103541,-0.29744801,-0.982522693
2016/1/28 8:00,138,265.3418971,256.1267827,-0.006994016,-2.174679356
2016/1/28 14:00,126,275.4049939,256.484328,-0.796632646,-2.199991201
2016/1/28 20:00,73,270.4479368,257.1117559,-2.071658463,-2.092806474
2016/1/29 2:00,62,266.2139141,255.2659162,-0.850761101,-1.060020689
2016/1/29 8:00,54,264.1990027,253.4496256,-1.872126121,-1.182830012
2016/1/29 14:00,44,269.9645248,254.5941645,-2.06069126,0.995551141
2016/1/29 20:00,47,265.6304858,255.3250146,-1.187206592,2.03552424
2016/1/30 2:00,31,263.8083141,254.5025619,-1.129894111,0.080262316
2016/1/30 8:00,84,262.7008421,254.0809934,-0.619034711,-1.246890855
2016/1/30 14:00,28,268.3163397,254.9261004,0.630165111,-0.723779386
2016/1/30 20:00,93,265.2168767,255.5180693,1.657898185,0.116198887
2016/1/31 2:00,10,261.3579151,251.7879758,1.06920702,-1.567507562
2016/1/31 8:00,6,260.2223135,248.4656612,1.203643704,-1.688441933
2016/1/31 14:00,3,271.9158842,253.0251022,2.291165724,-2.343112499
2016/1/31 20:00,89,267.2807545,255.2294722,2.455673772,-1.483759728
2016/2/1 2:00,13,265.075187,254.6335634,1.311900613,-2.001246342
2016/2/1 8:00,8,263.2092582,253.3383236,1.684431741,-1.908123751
2016/2/1 14:00,6,274.7194656,254.5961344,2.818299039,-3.846823604
2016/2/1 20:00,13,268.9185211,255.5535283,1.603769731,-1.921560904
2016/2/2 2:00,16,266.3326834,255.0305076,1.507541367,-1.63406834
2016/2/2 8:00,13,263.9625058,254.3282217,1.469333046,-2.387486352
2016/2/2 14:00,22,275.6883734,255.0442972,1.874058222,-1.45313552
2016/2/2 20:00,74,269.1248047,255.9987362,2.082788864,-0.447536531
2016/2/3 2:00,23,265.4450389,255.5732278,1.420865084,-1.557195328
2016/2/3 8:00,24,264.9355809,255.3762332,1.25847972,-1.764377469
2016/2/3 14:00,47,278.3440141,254.2976875,2.587987772,-0.968460557
2016/2/3 20:00,78,270.9053029,255.0295226,1.462611212,-2.293738777
2016/2/4 2:00,10,271.0855406,253.3274889,0.772384972,-1.842187957
2016/2/4 8:00,7,268.9539436,254.5114267,0.688892716,-2.172491913
2016/2/4 14:00,10,276.2728436,254.9911086,1.487375864,-2.256552238
2016/2/4 20:00,15,270.9323907,255.493445,1.34798625,-2.323425509
2016/2/5 2:00,13,269.9228513,253.764817,1.708488832,-2.60404325
2016/2/5 8:00,9,267.932944,253.1354192,2.618059136,-3.675265541
2016/2/5 14:00,9,274.6496626,254.9694392,3.050025429,-5.362721893
2016/2/5 20:00,16,271.8189934,255.6579355,1.713087982,-3.788387615
2016/2/6 2:00,5,268.715363,255.8647799,1.167558068,-2.351862273
2016/2/6 8:00,8,267.3620177,256.706932,1.680186372,-1.923435855
2016/2/6 14:00,31,277.669946,255.67468,2.898607269,-2.108118578
2016/2/6 20:00,68,271.4501833,256.9078665,2.55402482,-0.960648259
2016/2/7 2:00,49,267.5047493,256.2400547,1.468625485,-1.486572155
2016/2/7 8:00,30,266.6629455,253.2546009,1.500111971,-1.68625449
2016/2/7 14:00,21,279.356679,255.0777863,4.19945908,-1.680004652
2016/2/7 20:00,44,272.7451858,256.0952636,3.03127505,-1.243453444
2016/2/8 2:00,642,270.1760175,257.1048611,2.418173013,1.492725781
2016/2/8 8:00,341,272.0659086,258.8295492,3.46182622,-2.659354319
2016/2/8 14:00,10,282.6332542,259.4008336,2.716056403,-3.315899837
2016/2/8 20:00,28,277.5418002,258.2247756,0.770616068,-3.355898802
2016/2/9 2:00,13,269.7999146,260.3168587,0.231454208,-2.20624104
2016/2/9 8:00,23,268.0642154,261.0152047,0.118244369,-1.506259146
2016/2/9 14:00,42,282.2561094,260.8113152,-0.261008593,2.880502384
2016/2/9 20:00,61,273.9464231,263.1880556,-1.246995539,3.713918326
2016/2/10 2:00,85,271.4491415,261.849477,-0.00416377,-0.763465859
2016/2/10 8:00,81,268.4767825,261.8642516,-0.227045642,-0.92658664
2016/2/10 14:00,100,281.5914179,261.261448,-0.431177133,1.058362016
2016/2/10 20:00,135,276.1822038,263.9474699,-2.880047473,0.266507499
2016/2/11 2:00,205,273.4400907,265.1668667,-0.431177133,-1.162518037
2016/2/11 8:00,187,274.1579159,266.4818059,-0.315844609,-1.013771885
2016/2/11 14:00,153,278.6253099,272.3276218,-0.37740246,-0.674718155
